id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
51031,Women,Apparel,Innerwear,Bra,White,Summer,2017,Casual,Enamor White Bra
13284,Men,Apparel,Bottomwear,Shorts,Black,Fall,2011,Casual,Gini and Jony Kids Boys Solid Black Shorts
26163,Men,Apparel,Bottomwear,Trousers,Grey,Summer,2012,Formal,John Miller Men Dark Grey Trousers
3701,Women,Apparel,Topwear,Tshirts,Black,Summer,2011,Casual,Tantra Women Flower Heart Black Long T-shirt
42426,Women,Apparel,Topwear,Kurtas,Sea Green,Summer,2012,Ethnic,Aurelia Women Sea Green Kurta
10401,Women,Apparel,Topwear,Tops,Purple,Fall,2011,Casual,Jealous 21 Women Uaine Purple Tops
40371,Women,Apparel,Bottomwear,Jeans,Navy Blue,Summer,2012,Casual,Tokyo Talkies Women Navy Slim Fit Jeans
37223,Women,Apparel,Topwear,Tops,Blue,Summer,2012,Casual,United Colors of Benetton Women Blue Top
53766,Men,Apparel,Topwear,Tshirts,White,Summer,2012,Casual,Puma Men White and Navy Blue T-shirt
25520,Girls,Apparel,Topwear,Tops,White,Fall,2011,Casual,Doodle Kids Girls City Chic White Top
32597,Women,Apparel,Topwear,Tops,Black,Summer,2012,Casual,ONLY Women Black Top
57100,Women,Apparel,Topwear,Tops,Pink,Summer,2012,Casual,Elle Women Dark Pink Top
50325,Women,Apparel,Topwear,Kurtas,Navy Blue,Summer,2012,Ethnic,Aurelia Women Navy Blue Kurta
16530,Men,Apparel,Topwear,Shirts,Red,Fall,2011,Casual,Locomotive Men Check Red Shirt
7167,Men,Apparel,Topwear,Shirts,Purple,Fall,2011,Casual,Scullers Men Scul Purple White Shirt
46240,Women,Apparel,Topwear,Tunics,White,Summer,2012,Casual,Fusion Beats Women White Printed Tunic
27277,Women,Apparel,Topwear,Kurtas,Green,Fall,2011,Ethnic,Mother Earth Women Blue Kurta
6889,Women,Apparel,Topwear,Jackets,Cream,Summer,2011,Casual,Forever New Women Stone Cream Jacket
31312,Women,Apparel,Topwear,Kurtas,Peach,Summer,2012,Ethnic,W Women Peach Kurta
12190,Men,Apparel,Topwear,Shirts,Blue,Fall,2011,Casual,Basics Men Blue Slim Fit Checked Shirt
19578,Women,Apparel,Topwear,Tops,Purple,Summer,2011,Casual,United Colors of Benetton Women Solid Purple Top
27879,Women,Apparel,Topwear,Tops,Blue,Summer,2012,Casual,Scullers For Her Women Blue Top
6287,Men,Apparel,Topwear,Tshirts,Yellow,Summer,2011,Casual,Classic Polo Men's Swiss Yellow T-shirt
7355,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011,Casual,Tantra Men's Black Sabbath Navy T-shirt
28831,Women,Apparel,Innerwear,Briefs,Brown,Summer,2017,Casual,Enamor Women Pack of 3 Mid-Rise Bikini Brief
43500,Men,Apparel,Topwear,Tshirts,White,Summer,2012,Casual,French Connection Men White T-shirt
13270,Women,Apparel,Topwear,Tops,White,Fall,2011,Casual,Palm Tree Kids Girls Printed White Tops
18698,Men,Apparel,Innerwear,Briefs,Grey,Summer,2016,Casual,Hanes Men Grey Ultimate Duo Dry Cotton Stretch Bikini Briefs
31120,Girls,Apparel,Topwear,Tops,Pink,Summer,2012,Casual,Palm Tree Girls Pink Top
11527,Men,Apparel,Topwear,Tshirts,Olive,Fall,2011,Casual,United Colors of Benetton Men Olive Tshirts
40385,Women,Apparel,Topwear,Tops,Yellow,Summer,2012,Casual,Tokyo Talkies Women Yellow Top
15187,Men,Apparel,Topwear,Tshirts,White,Fall,2011,Casual,Arrow Sport Men Solid White Polo Tshirts
14055,Men,Apparel,Topwear,Shirts,Green,Fall,2011,Casual,Flying Machine Men Check Green Shirts
20260,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011,Casual,Wrangler Men Applique Navy Blue Tshirt
28469,Women,Apparel,Topwear,Tshirts,Pink,Summer,2012,Casual,Urban Yoga Women Printed Pink T-shirt
50573,Men,Apparel,Innerwear,Trunk,Charcoal,Summer,2016,Casual,Chromozome Men Charcoal Trunk Trunks
34036,Boys,Apparel,Topwear,Shirts,Blue,Summer,2012,Casual,Palm Tree Boys Check Blue Shirt
8779,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011,Casual,Indigo Nation Men Club Satin Hot Stepper Navy Blue Shirt
2243,Men,Apparel,Topwear,Tshirts,White,Fall,2010,Sports,ADIDAS Men Stripe Polo White Polo T-shirt
30496,Women,Apparel,Innerwear,Bra,Purple,Summer,2014,Casual,Lovable Women Fiona Purple Bra
27421,Women,Apparel,Loungewear and Nightwear,Lounge Pants,Blue,Winter,2015,Casual,Jockey Women Blue Lounge Pants
33213,Women,Apparel,Topwear,Tops,Magenta,Summer,2012,Casual,Sepia Women Printed Magenta Top
39729,Women,Apparel,Topwear,Tops,Olive,Summer,2012,Casual,Arrow Woman Olive Top
25376,Men,Apparel,Innerwear,Innerwear Vests,Grey,Summer,2016,Casual,Levis Men Grey Innerwear T-Shirt
11143,Men,Apparel,Topwear,Shirts,Black,Fall,2011,Casual,Scullers Men Price Catch Black Shirts
44341,Men,Apparel,Topwear,Tshirts,Blue,Summer,2012,Casual,Indian Terrain Men Blue T-shirt
33021,Women,Apparel,Topwear,Kurtas,Cream,Summer,2012,Ethnic,Mother Earth Women Printed Cream Kurta
11371,Men,Apparel,Topwear,Shirts,Black,Fall,2011,Casual,United Colors Of Benetton Men Summer Black Shirts
41401,Women,Apparel,Topwear,Tops,White,Summer,2012,Casual,Wrangler Women White Smocked Top
4386,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011,Casual,Wrangler Cowboy Photo T-shirt
29789,Men,Apparel,Topwear,Tshirts,Pink,Summer,2013,Casual,Basics Men Pack of 3 T-shirt
7503,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011,Sports,Nike Men's As Icon Blue T-shirt
34204,Men,Apparel,Bottomwear,Track Pants,Navy Blue,Fall,2013,Casual,Proline Men Navy Track Pants
13426,Men,Apparel,Topwear,Tshirts,Red,Summer,2011,Casual,United Colors of Benetton Men Stripes Red  Polo T-shirts
13846,Men,Apparel,Topwear,Shirts,Blue,Fall,2011,Casual,John Miller Men Stripes Blue Shirts
46278,Women,Apparel,Topwear,Tunics,Red,Summer,2012,Casual,109F Women Red & White Striped Tunic
16508,Men,Apparel,Bottomwear,Jeans,Blue,Fall,2011,Casual,Locomotive Men Washed Blue Jeans
19540,Men,Apparel,Topwear,Sweaters,Blue,Summer,2011,Casual,United Colors of Benetton Men Solid Blue Sweater
7963,Men,Apparel,Topwear,Tshirts,White,Fall,2011,Sports,Puma Men's Large Logo Graphic White French T-shirt
57138,Women,Apparel,Bottomwear,Trousers,Brown,Summer,2012,Casual,Elle Women Brown Trousers
15983,Men,Apparel,Topwear,Shirts,Burgundy,Fall,2011,Casual,Turtle Solid Men  Burgundy Shirt
20258,Men,Apparel,Topwear,Tshirts,Brown,Fall,2011,Casual,Wrangler Men Polo Charcoal T-shirt
28035,Men,Apparel,Innerwear,Briefs,Grey Melange,Summer,2016,Casual,Jockey ELANCE Men Grey Melange Y Front Briefs 1006
26993,Women,Apparel,Bottomwear,Jeans,Blue,Summer,2012,Casual,Jealous 21 Women Washed Blue Jeans
13248,Men,Apparel,Bottomwear,Trousers,Brown,Fall,2011,Casual,Palm Tree Kids Boy Solid Brown Trousers
43538,Women,Apparel,Topwear,Tops,Blue,Summer,2012,Casual,French Connection Women Blue Top
8325,Boys,Apparel,Topwear,Tshirts,Yellow,Fall,2011,Casual,Doodle Boy's Athletic 77 Dept Yellow Teen Kidswear
31118,Girls,Apparel,Topwear,Tops,Red,Summer,2012,Casual,Gini and Jony Girls Red Top
5862,Men,Apparel,Topwear,Tshirts,Black,Summer,2011,Casual,ADIDAS Men's Stripe Black T-shirt
58726,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012,Casual,Puma Men Grey T-shirt
51499,Women,Apparel,Bottomwear,Jeans,Blue,Summer,2012,Casual,Denizen Women Blue Jeans
55805,Women,Apparel,Loungewear and Nightwear,Night suits,Pink,Summer,2017,Casual,SDL by Sweet Dreams Women Pink & Black Printed Night Suit S11-3134
7709,Women,Apparel,Bottomwear,Jeans,Black,Fall,2011,Casual,Jealous 21 Women's Aaren Black Jegging
28451,Women,Apparel,Bottomwear,Track Pants,Black,Summer,2012,Casual,Urban Yoga Women Black Track Pants
43960,Men,Apparel,Topwear,Shirts,Grey,Summer,2012,Formal,Indigo Nation Men Grey Striped Shirt
8741,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011,Casual,Indigo Nation Men Checks Shirt Navy Blue Shirts
27419,Women,Apparel,Loungewear and Nightwear,Lounge Pants,Black,Winter,2015,Casual,Jockey Women Black Lounge Pants
22359,Men,Apparel,Topwear,Shirts,Blue,Summer,2011,Casual,John Players Men Check Blue Shirt
49654,Women,Apparel,Bottomwear,Skirts,Grey,Summer,2012,Casual,Mineral Women Grey Skirt
2049,Men,Apparel,Topwear,Tshirts,White,Summer,2010,Sports,ADIDAS Men's Slim Fit White T-shirt
17882,Men,Apparel,Innerwear,Innerwear Vests,White,Summer,2016,Casual,Levis Men Comfort Style White Innerwear Vest
33019,Women,Apparel,Topwear,Kurtas,Yellow,Summer,2012,Ethnic,Mother Earth Women Printed Yellow Kurta
11349,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2017,Casual,Lee Men Blue Chicago Fit Jeans
24892,Men,Apparel,Topwear,Tshirts,Black,Fall,2011,Casual,United Colors of Benetton Men Black T-shirt
58514,Women,Apparel,Topwear,Tops,Grey,Summer,2012,Casual,Tonga Women Grey Top
38637,Men,Apparel,Topwear,Tshirts,Red,Summer,2012,Casual,Nike Men Red Delhi T-shirt
4944,Men,Apparel,Topwear,Shirts,White,Summer,2011,Casual,Gini and Jony Boy's Kaleb White Brown Infant Kidswear
10861,Men,Apparel,Topwear,Tshirts,White,Fall,2011,Casual,Wrangler Men Dirt Riders White T-Shirts
47508,Men,Apparel,Innerwear,Briefs,Black,Summer,2016,Casual,Facit Men Black Brief
54923,Girls,Apparel,Bottomwear,Capris,Olive,Summer,2012,Casual,Do u speak Green Girls Olive 3/4 Pant
17278,Men,Apparel,Topwear,Tshirts,Grey,Fall,2011,Casual,U.S. Polo Assn. Men Printed  Steeple Grey Tshirt
31588,Men,Apparel,Topwear,Tshirts,Maroon,Summer,2012,Casual,Mark Taylor Men Printed Maroon T-shirt
18230,Men,Apparel,Topwear,Tshirts,White,Fall,2011,Casual,Manchester United Men Printed White Tshirt
23871,Men,Apparel,Topwear,Tshirts,Grey,Fall,2011,Casual,ADIDAS Men Grey Striped T-shirt
9667,Men,Apparel,Topwear,Shirts,Purple,Fall,2011,Casual,Indigo Nation Men Bling Red Black Shirts
3953,Women,Apparel,Topwear,Tshirts,Red,Summer,2011,Casual,Jealous 21 Women's Red Peace T-shirt
28697,Women,Apparel,Topwear,Kurtas,Black,Summer,2012,Ethnic,W Women Printed Black Kurta
12538,Men,Apparel,Bottomwear,Track Pants,Blue,Fall,2011,Casual,Puma Men Solid Blue Track Pants
8587,Men,Apparel,Topwear,Shirts,Red,Fall,2011,Casual,Scullers Men Red Check Shirt
42248,Women,Apparel,Topwear,Tops,Pink,Summer,2012,Casual,Sepia Women Pink Top
17876,Men,Apparel,Innerwear,Innerwear Vests,Grey,Summer,2016,Casual,Levis Men Comfort Style Grey Innerwear Vest
9455,Men,Apparel,Topwear,Shirts,Red,Fall,2011,Formal,John Miller Men Red Striped Shirt
18002,Women,Apparel,Bottomwear,Capris,Black,Summer,2011,Sports,Puma Women Essential Skinny Black 3/4 Pant
32903,Women,Apparel,Bottomwear,Shorts,Red,Summer,2012,Casual,Allen Solly Women Red Shorts
6079,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011,Casual,UCB Men's Johny Collar With Two Tone Grey T-shirt
29321,Men,Apparel,Topwear,Tshirts,Black,Summer,2012,Sports,ADIDAS Men Black Jersey
26369,Women,Apparel,Topwear,Shirts,Blue,Summer,2012,Casual,Arrow Woman Blue Shirt
33489,Men,Apparel,Topwear,Shirts,Green,Summer,2012,Casual,Doodle Kids Boy Check Green Shirt
56822,Men,Apparel,Bottomwear,Trousers,Beige,Summer,2012,Casual,John Players Men Beige Shorts
40947,Boys,Apparel,Topwear,Tshirts,Red,Summer,2012,Casual,Gini and Jony Boys Core Red T-shirt
39381,Men,Apparel,Bottomwear,Jeans,Black,Summer,2012,Casual,Peter England Men Party Black Jeans
15977,Men,Apparel,Topwear,Shirts,Red,Fall,2011,Casual,Turtle Solid Men Red Shirt
32769,Men,Apparel,Topwear,Tshirts,Blue,Spring,2013,Casual,Music Men Printed Blue T-shirt
10439,Men,Apparel,Topwear,Tshirts,Brown,Fall,2011,Casual,Flying Machine Men Walnut Brown Tshirts
14099,Women,Apparel,Topwear,Tops,Pink,Fall,2011,Casual,Flying Machine Women Solid Pink Tops
1852,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011,Casual,Inkfruit Men Ride It Or Die T-shirt
30802,Men,Apparel,Topwear,Shirts,Blue,Summer,2012,Ethnic,Fabindia Men Blue Shirt
51009,Women,Apparel,Innerwear,Bra,Rose,Summer,2017,Casual,Enamor Rose Full Figure Bra FF07
26967,Women,Apparel,Topwear,Tops,Navy Blue,Summer,2012,Casual,Jealous 21 Women Check Navy Blue Top
27089,Women,Apparel,Topwear,Kurtas,Brown,Summer,2012,Ethnic,Aneri Women Jazz Brown Kurta
51835,Women,Apparel,Innerwear,Briefs,Red,Summer,2016,Casual,Bwitch Red Lace  Briefs
19786,Men,Apparel,Topwear,Tshirts,Navy Blue,Winter,2016,Casual,U.S. Polo Assn. Men Solid Navy Blue Tshirt
24091,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011,Casual,Manchester United Men Navy Blue Striped T-shirt
33026,Women,Apparel,Topwear,Kurtas,Pink,Fall,2012,Ethnic,Mother Earth Women Pink Kurta
41406,Women,Apparel,Topwear,Tshirts,Pink,Summer,2012,Casual,Wrangler Women Pink T-shirt
11376,Women,Apparel,Topwear,Tops,Grey,Fall,2011,Casual,United Colors Of Benetton Women Light Winter Grey Tops
4381,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011,Casual,Superman Men's Silhouette Light Blue T-shirt
7504,Women,Apparel,Topwear,Tshirts,Pink,Summer,2011,Sports,Nike Women's Smash Pink T-shirt
22366,Men,Apparel,Topwear,Tshirts,White,Fall,2011,Casual,Ed Hardy Men New Tiger White T-Shirt
34203,Men,Apparel,Bottomwear,Track Pants,Charcoal,Winter,2013,Casual,Proline Men Charcoal Grey Track Pants
13421,Men,Apparel,Topwear,Tshirts,Black,Summer,2011,Casual,United Colors of Benetton Men Stripes Black Polo T-shirts
27614,Men,Apparel,Bottomwear,Trousers,Beige,Summer,2012,Casual,Scullers Men Beige Trousers
16361,Men,Apparel,Topwear,Shirts,Maroon,Fall,2011,Formal,Peter England Men Stripes Maroon Shirt
46411,Men,Apparel,Topwear,Sweatshirts,Black,Summer,2012,Casual,ADIDAS Men Black Sweatshirt
34031,Boys,Apparel,Topwear,Shirts,Blue,Summer,2012,Casual,Gini and Jony Boys Check Blue Shirt
50574,Men,Apparel,Innerwear,Trunk,Charcoal,Summer,2016,Casual,Chromozome Men Pack of Two Trunks
31543,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2012,Casual,Classic Polo Men Striped Navy Blue T-shirt
13613,Men,Apparel,Innerwear,Innerwear Vests,Red,Summer,2016,Casual,Hanes Men Sleeveless V Neck Red Innerwear T-shirt
27426,Women,Apparel,Bottomwear,Shorts,Grey Melange,Winter,2015,Casual,Jockey Women Grey Melange Shorts
2244,Women,Apparel,Topwear,Tshirts,Black,Fall,2010,Casual,ADIDAS Women's Black T-shirt
33214,Women,Apparel,Topwear,Tunics,Black,Summer,2012,Casual,Sepia Women Printed Black & Green Tunic
11144,Men,Apparel,Topwear,Shirts,Black,Fall,2011,Casual,Scullers Men Price Catch Black Shirts
25371,Men,Apparel,Innerwear,Innerwear Vests,Maroon,Summer,2016,Casual,Levis Men Maroon Innerwear Vest
58719,Women,Apparel,Topwear,Kurtas,Off White,Summer,2012,Ethnic,ALayna Women Off White  Kurta
6280,Men,Apparel,Topwear,Tshirts,Pink,Summer,2011,Casual,UCB Men's Making Light Pink T-shirt
7352,Men,Apparel,Topwear,Tshirts,Purple,Fall,2011,Casual,Tantra Men's Whatever Purple T-shirt
2620,Men,Apparel,Topwear,Tshirts,Blue,Fall,2010,Sports,Nike Men's Colors Team India T-shirt
43507,Men,Apparel,Topwear,Tshirts,Maroon,Summer,2012,Casual,French Connection Men Maroon T-shirt
28836,Women,Apparel,Topwear,Kurtas,Multi,Summer,2012,Ethnic,BIBA Women Printed Multi Coloured Kurta
11520,Women,Apparel,Bottomwear,Jeans,Black,Fall,2011,Casual,United Colors of Benetton Women Denim Black Jeans
40382,Women,Apparel,Topwear,Tops,Pink,Summer,2012,Casual,Tokyo Talkies Women Pink Top
57335,Women,Apparel,Innerwear,Bra,White,Winter,2015,Casual,Amante White Bra BCSO01
14052,Men,Apparel,Topwear,Shirts,White,Fall,2011,Casual,Flying Machine Men Solid White Shirts
53795,Men,Apparel,Topwear,Tshirts,Black,Summer,2012,Casual,Puma Men Black T-shirt
39178,Women,Apparel,Topwear,Kurtas,Blue,Summer,2012,Ethnic,Aneri Women Blue & Brown Printed Kurta
32590,Women,Apparel,Bottomwear,Shorts,Brown,Summer,2012,Casual,ONLY Women Brown Shorts
11712,Men,Apparel,Topwear,Shirts,Blue,Summer,2011,Casual,Lee Men Solid Blue Shirts
25527,Women,Apparel,Topwear,Shirts,Green,Summer,2012,Casual,Wrangler Women Stella Green Shirt
57107,Women,Apparel,Topwear,Tops,Olive,Summer,2012,Casual,Elle Women Green Essentials Top
50322,Women,Apparel,Topwear,Kurtas,Black,Summer,2012,Ethnic,Aurelia Women Black Kurta
13879,Men,Apparel,Topwear,Shirts,Red,Fall,2011,Casual,Scullers Men Check Red Shirts
